duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity_class,energy_loudness,energy_valence,loudness_valence,danceability_energy,acousticness_speechiness,instr_speech_ratio,duration_per_bpm,vocal_intensity,energy_danceability_ratio
273093,0.422,0.971,-3.262,0.0625,0.154,0.0172,0.383,0.182,90.083,1,-3.167402,0.176722,-0.593684,0.40976199999999996,0.009625,0.275155975043993,3031.57088462862,-0.203875,2.3008933437596264
74240,0.296,0.995,-2.521,0.121,2.46e-05,0.929,0.386,0.0707,97.319,1,-2.5083949999999997,0.07034649999999999,-0.1782347,0.29452,2.9766e-06,7.677051483348484,762.8520638313177,-0.305041,3.361372926590318
276680,0.315,0.391,-8.259,0.0329,0.307,0.0,0.623,0.502,70.867,3,-3.2292690000000004,0.196282,-4.146018,0.12316500000000001,0.0101003,0.0,3904.2149378413083,-0.2717211,1.24123043712898
193160,0.354,0.131,-21.506,0.0337,0.951,0.631,0.178,0.346,83.17,2,-2.817286,0.045326,-7.441076,0.046374,0.0320487,18.718481162859682,2322.472045208609,-0.7247522000000001,0.3700460438970651
215776,0.547,0.558,-6.745,0.309,0.112,0.0,0.112,0.422,93.872,4,-3.7637100000000006,0.23547600000000002,-2.84639,0.30522600000000005,0.034608,0.0,2298.6193966251917,-2.084205,1.020091040383174
212533,0.257,0.998,-2.859,0.14,3.19e-05,0.00722,0.0624,0.0597,152.167,2,-2.853282,0.059580600000000004,-0.1706823,0.256486,4.466000000000001e-06,0.051567745161059914,1396.708879060506,-0.40026000000000006,3.8831173884284658
137066,0.694,0.251,-9.094,0.0563,0.688,0.000104,0.0718,0.782,119.133,1,-2.282594,0.196282,-7.111508,0.174194,0.0387344,0.0018469188421239564,1150.5292404287645,-0.5119922,0.36166625841126215
185306,0.278,0.495,-9.6,0.0384,0.921,0.141,0.749,0.838,86.124,1,-4.752,0.41480999999999996,-8.044799999999999,0.13761,0.0353664,3.6709190315022124,2151.618596442339,-0.36863999999999997,1.7805114923923597
134946,0.824,0.393,-6.941,0.0704,0.616,0.0,0.211,0.474,92.952,3,-2.7278130000000003,0.186282,-3.290034,0.323832,0.0433664,0.0,1451.7815646785439,-0.48864640000000004,0.4769359595150545
142306,0.65,0.246,-16.171,0.0263,0.846,5.07e-06,0.186,0.539,91.04,4,-3.9780659999999997,0.13259400000000002,-8.716169,0.15990000000000001,0.0222498,0.0001927023945267959,1563.1151142355009,-0.4252973,0.37845571606590667
180000,0.774,0.652,-6.413,0.0336,0.518,7.87e-05,0.0839,0.862,145.01,3,-4.181276,0.562024,-5.528006,0.504648,0.017404799999999998,0.0023415650104135675,1241.293703882491,-0.2154768,0.8423663776953787
172120,0.367,0.28,-11.71,0.0344,0.776,6.15e-06,0.109,0.402,90.049,3,-3.2788000000000004,0.11256000000000002,-4.707420000000001,0.10276,0.0266944,0.00017872711421098518,1911.4037912691977,-0.402824,0.7629219912263971
242553,0.581,0.14,-19.822,0.0568,0.991,0.909,0.131,0.21,122.791,3,-2.77508,0.029400000000000003,-4.1626199999999995,0.08134,0.0562888,16.0007041013906,1975.3320683111956,-1.1258896,0.2409597080945251
153456,0.173,0.447,-19.182,0.0523,0.898,0.204,0.256,0.000885,113.693,3,-8.574354,0.00039559500000000005,-0.01697607,0.077331,0.0469654,3.8998279487669656,1349.7400895393737,-1.0032185999999998,2.583665684064505
180266,0.826,0.49,-10.477,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,4,-5.13373,0.30723,-6.569079,0.40474,0.0006192159999999999,6.522703742049994e-05,2431.886247740334,-0.7082451999999999,0.5932131572256995
308714,0.581,0.71,-4.961,0.0374,0.395,0.0,0.137,0.755,111.969,4,-3.52231,0.53605,-3.7455550000000004,0.41250999999999993,0.014773000000000001,0.0,2757.1381364484814,-0.18554140000000002,1.2220099481936628
286466,0.493,0.175,-18.049,0.036,0.949,0.777,0.112,0.278,106.903,4,-3.158575,0.04865,-5.017622,0.08627499999999999,0.03416399999999999,21.577339627881145,2679.6815804982084,-0.6497639999999999,0.3549623739883572
153280,0.36,0.815,-12.779,0.146,0.46,0.0,0.365,0.439,122.176,1,-10.414885,0.35778499999999996,-5.609981,0.2934,0.06716,0.0,1254.583551597695,-1.8657339999999998,2.263826004833199
262684,0.369,0.308,-10.575,0.0315,0.819,0.0,0.104,0.079,70.027,2,-3.2571,0.024332,-0.835425,0.113652,0.0257985,0.0,3751.181687063561,-0.3331125,0.8346657272160646
220333,0.423,0.51,-9.892,0.0393,0.594,0.0,0.125,0.607,124.018,2,-5.044919999999999,0.30957,-6.0044439999999994,0.21573,0.0233442,0.0,1776.6211356416004,-0.3887556,1.205645256613319
185242,0.711,0.529,-6.867,0.0396,0.524,0.0,0.124,0.322,139.834,4,-3.6326430000000003,0.17033800000000002,-2.211174,0.376119,0.020750400000000002,0.0,1324.727891642948,-0.27193320000000004,0.7440120392118256
97620,0.738,0.499,-14.344,0.546,0.21,0.0,0.569,0.806,88.916,1,-7.157655999999999,0.40219400000000005,-11.561264,0.368262,0.11466,0.0,1097.8901435062307,-7.831824,0.6761425996937711
233097,0.674,0.878,-4.179,0.0308,0.00468,0.0676,0.056,0.964,121.096,2,-3.669162,0.8463919999999999,-4.028556,0.5917720000000001,0.00014414400000000002,2.1940928270042193,1924.894298738191,-0.1287132,1.302651295974837
185333,0.541,0.676,-3.893,0.153,0.442,0.0,0.159,0.845,90.037,4,-2.631668,0.5712200000000001,-3.2895849999999998,0.36571600000000004,0.067626,0.0,2058.4093206126367,-0.595629,1.2495147963993274
347866,0.359,0.83,-5.723,0.0725,0.000217,3.83e-05,0.0601,0.205,76.727,4,-4.750089999999999,0.17014999999999997,-1.173215,0.29796999999999996,1.57325e-05,0.0005282030064818646,4533.814693654124,-0.41491749999999994,2.3119133171777944
171989,0.805,0.746,-5.211,0.185,0.238,0.0,0.215,0.717,127.922,3,-3.8874060000000004,0.534882,-3.736287,0.60053,0.04403,0.0,1344.4833570456997,-0.9640350000000001,0.9266965627756177
256386,0.535,0.828,-3.48,0.0487,0.143,0.0,0.177,0.407,131.866,2,-2.88144,0.33699599999999996,-1.4163599999999998,0.44298,0.006964099999999999,0.0,1944.2919327195787,-0.169476,1.5476346236518943
78874,0.367,0.107,-20.273,0.0471,0.862,0.926,0.107,0.146,129.368,4,-2.169211,0.015621999999999999,-2.9598579999999997,0.039269,0.0406002,19.656123965187856,609.6870941809412,-0.9548583,0.2915451895043732
